Code,Title,Description
1111.01,State Legislatures,"Is designated Title Legislators according to work performed or post held, such as: CHIEF MINISTER. 9900 STATE GOVERNMENT. CHAIRMAN, Legislators, Other LEGISLATIVE COUNCIL. SPEAKER, LEGISLATIVE ASSEMBLY. MEMBER, Elected Officials, Other include all other LEGISLATIVE ASSEMBLY. Elected Officials performing administrative, executive or advisory functions in educational, religious, social, or ad-hoc private bodies, not else-where 1111. 0300 classified. Elected Official, Local Bodies Elected Official, Local Bodies. Performs administrative, executive or. Public health, sanitation, primary education, building and road Senior government officials advise construction, drainage, street-lighting, governments on policy matters, oversee raising and collection of admissible local the interpretation and implementation of taxes and their proper administration, and government policies and legislation by all other connected matters for the government departments and agencies, benefit of local people, including represent their country abroad and act on enforcement of local laws and emergency its behalf, or carry out similar tasks in measures as necessary. Is designated intergovernmental organizations. They according to work performed or post held plan, organize, direct, control and such as: MAYOR, MUNICIPAL evaluate the overall activities of municipal CORPORATION. COUNCILLOR, CITY or local, regional and national government MUNICIPAL CORPORATION. CHAIRMAN, departments, boards, agencies or CITY MUNICIPAL CORPORATION. Commissions in accordance with CHAIRMAN, MUNICIPALITY. MEMBER legislation and policies established by MUNICIPALITY. CHAIRMAN, DISTRICT government and legislative bodies. MEMBER, DISTRICT BOARD. CHAIRMAN, CANTONMENT BOARD. MEMBER, CANTONMENT BOARD. 0100 CHAIRMAN, TOWN AREA COMMITTEE. Administrative Official, Union MEMBER, TOWN AREA COMMITTEE. Government CHAIRMAN, BLOCK SAMITI. SARPANCH, PANCHAYAT. MEMBER, PANCHAYAT. Administrative Official, Union Government serves in various capacities under Union Government. Within his sphere of responsibility; Interprets policies of Indian Government organizingand directing work of ministries in foreign countries and advises his and departments; taking policy decisions Government on matters of foreign to extent authorized; supervising relations, trade, commerce, etc. Execution and implementation of policies Negotiates and enters into agreements and decisions by field or subordinate with other countries and nations. Issues offices etc. Is designated according to visas to foreigners for visit to India and work performed or post held, such as: looks after welfare of Indians abroad, and MEMBER, OF UNION PUBLIC SERVICE generally promotes interest of his COMMISSION. MEMBER, CENTRAL BOARD country. Is designated according to rank OF REVENUE. MEMBER, RAILWAY BOARD. Held or work performed, such as: MEMBER PLANNING COMMISSION. AMBASSADOR HIGH COMMISSIONER SECRETARY TO THE GOVERNMENT OF ENVOY MINISTER (DIPLOMAT) INDIA JOINT SECRETARY TO THE PERMANENT REPRESENTATIVE COUNSEL GOVERNMENT OF INDIA. DEPUTY GENERAL CHARGE D AFFAIRS TRADE SECRETARY TO THE GOVERNMENT OF COMMISSIONER. UNDER SECRETARY TO THE GOVERNMENT OF INDIA. DIRECTOR Code 1112 GENERAL, ALL INDIA RADIO DIRECTOR- Title Senior Government GENERAL, POSTS AND TELEGRAPHS. Officials DIRECTOR-GENERAL, SUPPLIES AND DISPOSALS. DIRECTOR-GENERAL 1112. DIRECTOR-GENERAL OF Executive Officials, Union EMPLOYMENT AND TRAINING. Government CONTROLLER AND AUDITOR GENERAL. CONTROLLER, IRON AND STEEL. Executive Official, Union Government COMMISSIONER, TEXTILE. CUSTODIAN serves in various executive capacities in GENERAL. CHIEF CONTROLLER OF Union Government, giving effect to IMPORTS AND EXPORTS. CHIEF policies and decisions of Government. COMMISSIONER, ELECTION. CHIEF Performs or supervises performance of COMMISSIONER, LABOUR other executives and field duties such as COMMISSIONER, SALT. REGISTRAR- assessing and collecting revenues; issuing GENERAL, CENSUS. Passports, licenses and other authorizations; supervising elections; reconciling parties in trade disputes; inspecting offices and establishments; enforcing and implementing various rules, Officials regulations and provisions of law. Is designated according to work performed"
1112.02,COMMISSIONER,"Diplomat DEVELOPMENT COMMISSIONER, INCOME-TAX CUSTODIAN, EVACUEE. 0500 LABOUR COMMISSIONER, COLLECTOR, Executive Official, State CENTRAL EXCISE, SUPERINTENDENT, Government CUSTOMS, INCOME-TAX OFFICER, SUPERINTENDENT, CENTRAL EXCISE, Executive Official, State Government PASSPORT OFFICER, SETTLEMENT serves in various capacities in State OFFICER, CONCILIATION OFFICER Government giving effect to policies and (CENTRAL). Decisions of Government. Performs or supervises performance of executive and field duties which include maintenance of law and order; assessing and collecting taxes, duties, land revenues, etc. ; issuing licenses; executing development schemes;"
1112.04,Reconciling parties in trade disputes,"Administrative Official, State inspecting schools, factories, shops, Government offices and establishments; and enforcing various rules, regulations and provisions Administrative Official, State Government of law. Is designated according to work serves in various capacities in State performed or post held, such as: Government. Performs administrative and COLLECTOR; DEPUTY COLLECTOR; SUB- advisory functions which include serving DEPUTY COLLECTOR; DEPUTY as Head of State; advising ministers, on all COMMISSIONER. DISTRICT OFFICER; SUB- matters of policy and administration DIVISIONAL OFFICER; LAND RECORD within his sphere of responsibility; OFFICER; TEHSILDAR; SUPERINTENDENT organizing and directing work of OF POLICE CIRCLE OFFICE; SALES-TAX departments; taking policy decisions to OFFICER; SUPERINTENDENT, JAIL; JAILOR, the extent authorised; supervising SUPERINTENDENT OF INDUSTRIES execution and implementation of policies DISTRICT INDUSTRIES OFFICER and decisions by field or subordinate MARKETING OFFICER. RATIONING officers. Is designated according to work OFFICER. RENT performed or post held, such as: CONTROL AND EVICTION OFFICER, GOVERNOR; RAJYAPAL; LIEUTENANT REGIONAL TRANSPORT OFFICER, DISTRICT GOVERNOR MEMBER, STATE PUBLIC PLANNING OFFICER, CO-OPERATIVE SERVICE COMMISSION, MEMBER, BOARD OFFICER, CONCILIATION OFFICER (STATE), OF REVENUE, CHIEF SECRETARY TO PANCHAYAT RAJ OFFICER. GOVERNMENT (STATE), SECRETARY TO GOVERNMENT (STATE), DEPUTY. 0600 HARYANA URBAN DEVELOPMENT Administrative and Executive AUTHORITY, SECRETARY, GHAZIABAD DEVELOPMENT AUTHORITY. Officials, Quasi Government (Central) Administrative and Executive Official, Quasi Government (Central) plans, Officials organizes, co-ordinates and controls within authority delegated, activities of"
1112.08,Quasi-government organizations,"Establishment, etc. Regulations and by-laws of local bodies and also assesses and collects local taxes. Officials EXECUTIVE OFFICER, IMPROVEMENT TRUST; EXECUTIVE OFFICER, 1112. 0700 CANTONMENT, BOARD; EXECUTIVE Administrative & Executive OFFICER; MUNICIPAL BOARD, SECRETARY, DISTRICT BOARD TAX SUPERINTENDENT, Officials, Quasi Government (State) OCTROI SUPERINTENDENT Administrative and Executive Official, Quasi Government (State) plans, organizes, co-ordinates and controls within authority delegated, activities of Officials quasi-government organizations, establishments, etc. Or one or more of its"
1112.99,Departments/branches sections;,"Includes officials such as: VICE Senior Government Officials, Other CHANCELLOR, STATE UNIVERSITIES, DEAN, STATE AUTONOMOUS EDUCATIONAL Administrative and Executive Officials, INSTITUTES, CHAIRMAN, STATE Government and Local Bodies, Other CORPORATIONS/BOARDS, CHAIRMAN, Include all other administrative and. Contacts people for propagating implementation, general management ideology of his party and to enquire about and supervision of its one or more their difficulties. Organizes activities elsewhere classified. Of the party in his area. May act as President or Secretary of his party. May Panchayat Samiti of his area. Officials Organizations Traditional Chiefs and Heads of Villages"
1114.02,Senior Officials of Employers,"Traditional Chiefs and Heads of Villages Workers and Other Economic perform a variety of legislative, Interest Organizations administrative and ceremonial tasks and duties, determined by ancient traditions, Senior O as well as by the division of rights and andother economic-interest organizations responsibilities between village chiefs and determine and formulate policies, rules the local, regional and national and regulations of their respective authorities. Organizations, direct their application, represents these organizations and act on their behalf. Senior Officials of Special-interest Organizations. 0300 political-party organizations, trade unions, Director, Disaster Management employers' organizations, trade and Services industry associations, humanitarian or charity organizations, or sports Director, Disaster Management Services associations, and represent their directs and co-ordinates regional organizations and act on their behalf. Programme activities of various agency to"
1114.01,"Provide specialized human services, such","Political Worker as water safety programmes, disaster relief, and emergency transportation: Consults with co-operating agencies, such. Managing Directors and Chief Executives Participates in programme activities to formulate and review the policies, plan, serve clients of agency. Prepares budgets direct, co-ordinate and evaluate the to control costs and to allocate funds in overall activities of enterprises or accordance with provisions and agency organizations (except special interest charter. May instruct agency staff and organizations and government volunteers in skills required to provide departments) with the support of other services. May forward requisitions and managers, usually within guidelines arrange for maintenance of equipment, established by a Board of Directors or a such as two way radios and agency governing body to whom they are vehicles. May co-ordinate services to answerable for the operations undertaken disaster victims and safety programmes, and their result. Such as water safety and emergency first aid, and also co-ordinates transportation Occupations in this Group are classified of agency clients, blood and medical into the following Families: supplies and equipment. 1120 Managing Directors and Chief Executives Organizations Managing Directors and Chief 1114. 9900 Executives Senior Officials of Special-interest Organizations, Other Managing Directors and Chief Executives formulate and review the policies and plan, direct co-ordinate and evaluate the Senior Officials of Humanitarian and other overall activities of enterprises or Special-interest Organizations, Other organizations (except special interest include senior officials of humanitarian organizations and government and other special-interest organizations departments). They work with the support who determine and formulate policies, of other managers, usually within rules and regulations of humanitarian guidelines established by a Board of organizations, sports associations or other Directors or a governing body to whom special-interest organizations. Directs they are answerable for the operations their application, represents these undertaken andtheirresult. Organizations and actson their behalf"
1120.01,"Working Proprietor, Electricity","Organizations Working Proprietor, Electricity plans, organizes and controls in broad outline, within authority delegated, activities of. 0400 branches, departments, etc. Engaged in Director, Electricity generation, transmission and distribution of electricity to domestic and industrial Director, Electricity heads the organization consumers. Is designated according to and is supported by more than one work performed or powers exercised. Determines, plans, organizes and controls in broad outline, within authority delegated, activities of private Executives departments, etc. Engaged in generation, transmission and distribution of electricity 1120. 0200 to domestic and industrial consumers. Is Working Proprietor, Gas designated according to work performed or powers exercised. Working Proprietor, Gas plans, organizes and controls, within authority delegated. 0500 consumers and production and supply of Director, Gas steam for heat and power. Is designated according to work performed or powers Director, Gas heads the organization and exercised. Is supported by more than one manager. 0300 distribution and supply of gas to Working Proprietor, Water Supply consumers and production and supply of steam for heat and power. Is designated according to work performed or powers Working Proprietor, Water Supply plans, exercised. Organizes and co-ordinates, within authority delegated, activities of public or private organizations engaged in storage, filtration, purification and supply of water"
1120.06,Executives,"Determines, plans, Title Managing Directors and Chief organizes and co-ordinates, within Executives authority delegated, activities of public or private organizations engaged in storage, 1120. 0900 filtration, purification and supply of water. Working Proprietor, Mines/Proprietor, Mines Working Proprietor, Mines plans, organizes, directs and controls the Executives enterprise wholly or partially and is engaged in economic activities related to"
1120.07,"Extraction of coal, ore, mica, precious","Director, Bank stones and other minerals from underground mines or open pits, and Director, Bank sets broad policies and treatment of minerals for use by plans and supervises in general way, consumers. Is designated according to within authority delegated, efficient mineral extracted such as: WORKING operation of private or public bank or PROPRIETOR, GOLD MINE, WORKING major segment of it. May be designated PROPRIETOR, DIAMOND MINE, WORKING according to authority delegated or work PROPRIETOR, COAL MINE, WORKING performed such as: GOVERNOR (BANK), PROPRIETOR, IRON MINE, WORKING CHAIRMAN (BANK), MANAGING PROPRIETOR, MANGANESE, MINE DIRECTOR (BANK). WORKING PROPRIETOR, COPPER MINE WORKING PROPRIETOR, MICA MINE. Executives Title Managing Directors and Chief Executives"
